parameter,cluster,bus,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
CF_wind,3,18,0.4580022021004664,0.4693369367732045,0.4719568315821307,0.266642070755069,0.3773276545982702,0.17979093545124522,0.14444276621742538,0.14971500359359868,0.15904425746174106,0.16648735453975752,0.17100805996514815,0.16893873034579246,0.17622586884349328,0.17668955777691486,0.17028688236892356,0.17865526391002062,0.21163684019019186,0.48575131567595414,0.6113461211165772,0.5462527778196058,0.38287308116546626,0.3185804648076993,0.4684545670872575,0.41075826598552473
CF_wind,3,19,0.0925726794046675,0.09372623655266171,0.09202764149462532,0.09075801493642911,0.09077604513607213,0.08507286761148847,0.07954435764594658,0.07487754097167755,0.07713657473528461,0.08295845107418483,0.142495672812083,0.18530462557284832,0.3172237081485025,0.36537072689108013,0.38260008516662547,0.4266899333603638,0.28052023174185575,0.2234358684137271,0.1316501320976456,0.12870670200592207,0.11156448969531817,0.09976034336652666,0.09213206640089112,0.08329388791337689
CF_wind,3,2,0.4355680266168286,0.43557902924591363,0.4161622843395935,0.40972342998190264,0.414441820602144,0.41541989641922666,0.41907913921860146,0.4469887556070597,0.46379961467745845,0.48855900463315843,0.5280983999644626,0.5468677270119919,0.5846687069478661,0.621393166490634,0.6226422544346523,0.6503103920689817,0.6384414507149723,0.6187415328811486,0.5677229208997405,0.5199767224425081,0.5096574145322598,0.4943382803314907,0.4853497114547861,0.4687131571925234
CF_wind,3,22,0.1110907731254236,0.11724842889459301,0.11431923637029837,0.11082189793853181,0.10617486751030299,0.102665872010061,0.09632344625832731,0.09470670891089059,0.11059812580162916,0.12727732084326504,0.1384597178481811,0.24614989531572787,0.16266959701409048,0.1812424664878791,0.24144174698642676,0.17166100986844715,0.17326031608545334,0.15784378855438305,0.13728638488107228,0.1207197295752789,0.17592172286850813,0.10603585424511902,0.11162852349920711,0.11086449526352157
CF_wind,3,25,0.11694265480114502,0.11159157713674421,0.10401055338382797,0.09865529071590266,0.09478438271910587,0.09720089185947559,0.09829405883273733,0.09524737626691895,0.1123439967177763,0.1275320352981292,0.14287095426870677,0.1423914409701392,0.15248324657439755,0.1691944061743163,0.1644536782344588,0.16988405070248125,0.1817839980926566,0.17033470950306429,0.15766714436116272,0.1476365719663678,0.13298002883362323,0.11779088893655329,0.09955264357688759,0.09555772731776033
CF_wind,3,26,0.112114954582136,0.26776491329605284,0.1097610817310541,0.10784314575939707,0.10780216024081868,0.09753156188069678,0.0871743350381251,0.1968664865788429,0.07720553913298955,0.10658749850840443,0.24931770397954156,0.30896840031415834,0.352434474255603,0.3959843822123215,0.4113101716934649,0.4435937194864183,0.49171910169897926,0.44002518490292236,0.2940813421796157,0.1124800982931071,0.1040091367942001,0.09939919744318947,0.10553398438312804,0.10242094794928736
CF_wind,3,28,0.3664621311532605,0.3663923482793555,0.3699842215168331,0.3616306395196648,0.38185646193295625,0.38740225563976693,0.36801153975025364,0.3699627146638922,0.39180772854808166,0.24878761408214015,0.1555320693589095,0.1597126354965738,0.16663029186545944,0.17692017701625384,0.17683849673433905,0.17873476053408519,0.18296497547056054,0.17179788527533726,0.1550859165585348,0.1388882819418566,0.23669412763629274,0.42397534545509297,0.4268881512507699,0.40748302119385965
CF_wind,3,30,0.43964781149403337,0.24371296606452425,0.334909171717011,0.26807550113892026,0.1171972254493991,0.2710497283602173,0.3717310747434317,0.2114767863340645,0.4125296963599271,0.25275650993401516,0.46943623820622987,0.26539932246347125,0.14026156744811324,0.1521088015756601,0.14899259059827005,0.15497859446396312,0.15880550650146577,0.14482890717234861,0.13278297401423647,0.12302481768639341,0.12146886346673012,0.22985370868259136,0.4353660038412798,0.42631150805671847
CF_wind,3,31,0.0864631506669288,0.08435699984214082,0.08730353961563242,0.08525139265814669,0.0842275385164162,0.07955065565223997,0.07900580841569052,0.07670990427634046,0.08040694984953259,0.08569747939764338,0.09387388684090624,0.09583873987590334,0.10264766583001247,0.23705589375528674,0.12483400805368809,0.15387440275072525,0.14953633867044547,0.1391531704578315,0.13250107765260014,0.12974466108317265,0.11096352161555581,0.09544221832968407,0.08478163299051744,0.0754289769306712
CF_wind,3,32,0.5026008985053113,0.5130544776693067,0.5054161646141001,0.5141957134664866,0.49940413141873785,0.5207259647225811,0.5267382492361106,0.5615025886662618,0.559042183809536,0.4768385245055042,0.3345160411568521,0.18546300597286022,0.19191484596079347,0.1990914875428839,0.19517569917999864,0.19469970257135324,0.35349382991537537,0.2935491693606136,0.34537826366068763,0.6160821089879918,0.5937962191948325,0.5700835961665732,0.5139971721144118,0.47506497219969024
CF_wind,3,34,0.12865434479447646,0.1274156271413481,0.12414431876629742,0.12122270580911651,0.11282401337955211,0.1092688136830648,0.11274753834856213,0.11346293558613689,0.1190874073420855,0.12659129744683992,0.13284579896390936,0.13394801757916597,0.14035324604684934,0.21718530872219935,0.15069538243256014,0.15311723995466706,0.3560050525487905,0.1422173249272299,0.1306827116048034,0.11877550481743743,0.28534234622519267,0.2841356413757346,0.12115401166790754,0.11984282058424803
CF_wind,3,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF_wind,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF_wind,3,46,0.10778455818071334,0.10001370016962964,0.10207725091500182,0.10256813209330831,0.09896308427718994,0.10739096259531615,0.10929111465118925,0.10493826947830669,0.1190755103915721,0.1288955318420344,0.1320552582821594,0.13996519358451484,0.14807312562173514,0.16149579700398348,0.16070141218019232,0.16947321562254722,0.1822796307314018,0.17398363605155048,0.16175271318244114,0.13654752330121836,0.1278962991852863,0.11549067331482572,0.10509173407557207,0.09848076697149868
